kepoi_name,confirmation_probability
K00315.01,0.9999999997187743
K01475.02,0.9999999996162972
K01871.02,0.9999999990626272
K00865.01,0.9999999990405413
K00415.01,0.9999999989242563
K00211.01,0.9999999977192062
K01466.01,0.9999999969571933
K00339.03,0.9999999965062261
K01239.02,0.9999999963535722
K03319.01,0.9999999957574093
K00253.02,0.999999995279075
K01574.03,0.9999999946961828
K01986.02,0.9999999943656179
K02055.03,0.9999999927336869
K01276.02,0.9999999922335826
K01261.02,0.9999999916840988
K03864.02,0.9999999916395504
K02503.01,0.9999999914251619
K02169.02,0.9999999906040785
K04136.02,0.9999999905226585
K02393.01,0.9999999904643414
K00191.02,0.9999999902712008
K00102.01,0.9999999897770536
K00141.01,0.9999999892305641
K00239.02,0.9999999884984386
K01089.02,0.9999999881338898
K00253.01,0.999999987853151
K00191.03,0.9999999870107932
K01053.02,0.9999999861559328
K01303.01,0.9999999853783506
K01590.01,0.9999999851209875
K00691.01,0.9999999848319141
K02174.02,0.999999984445803
K00935.04,0.9999999834294098
K00928.01,0.999999982521146
K01871.01,0.9999999818266164
K01315.01,0.9999999803630008
K02853.01,0.9999999802448463
K00289.01,0.9999999801692354
K02582.01,0.9999999784978961
K02469.01,0.9999999784245881
K02449.01,0.9999999781633364
K02527.01,0.9999999776253087
K03864.01,0.9999999767329156
K01276.01,0.9999999748001687
K01082.01,0.9999999745168311
K01475.01,0.9999999743897787
K04032.05,0.9999999737765215
K01590.02,0.9999999716454576
K02588.01,0.9999999703401257
K00308.01,0.9999999702467064
K01475.03,0.999999968220023
K03052.02,0.999999965088462
K02124.01,0.9999999632232472
K02373.01,0.9999999625460895
K03403.02,0.999999962351278
K02321.01,0.9999999619045575
K01860.03,0.9999999618251844
K02220.04,0.9999999606738526
K00298.02,0.9999999606462211
K02083.01,0.9999999600516623
K00316.03,0.9999999585719549
K00288.01,0.9999999580057177
K01165.01,0.9999999572625213
K02553.01,0.9999999562802596
K00177.01,0.9999999544761818
K00641.01,0.9999999543529222
K01934.01,0.999999953650699
K01715.01,0.9999999535481706
K01857.01,0.9999999534528099
K02963.02,0.9999999522015793
K02297.01,0.9999999509635726
K02543.01,0.9999999509528534
K02130.01,0.9999999506165385
K02871.02,0.9999999504437191
K01082.02,0.9999999501167349
K02043.01,0.9999999496162301
K01602.02,0.9999999475495099
K00388.01,0.9999999426659154
K01411.01,0.9999999421125387
K02264.02,0.999999940528693
K02848.01,0.9999999399428874
K03344.01,0.9999999385336578
K01369.01,0.999999936700694
K02332.01,0.9999999364930168
K00593.03,0.9999999364779293
K01597.01,0.9999999355808998
K01602.01,0.9999999355646904
K00958.01,0.9999999354993067
K04288.02,0.9999999354460893
K01928.01,0.9999999330258584
K01082.04,0.9999999322682821
K02579.01,0.9999999302016198
K01861.01,0.999999929614824
K02420.02,0.9999999289980975
K02358.01,0.999999928752711
K00427.01,0.999999928585628
K04004.01,0.999999927359017
K02479.01,0.9999999253071059
K02393.02,0.9999999252880147
K02417.01,0.9999999244480723
K01151.04,0.999999923915843
K01974.01,0.999999922412369
K00900.01,0.9999999222133981
K01246.01,0.9999999205062294
K00645.02,0.99999991979362
K01169.01,0.9999999192114887
K04409.01,0.9999999190259589
K00349.01,0.9999999180416804
K00373.01,0.9999999177551616
K01917.01,0.9999999142194835
K02293.01,0.9999999126278162
K00354.02,0.9999999121961528
K03020.01,0.9999999117704845
K02082.01,0.9999999109094247
K02890.01,0.9999999090788145
K02135.02,0.9999999087473362
K00353.02,0.9999999064253823
K01671.01,0.9999999056088416
K04136.01,0.999999903566055
K02971.01,0.9999999029648835
K01704.01,0.9999999025491018
K01145.01,0.9999999004702672
K04452.01,0.9999999001568214
K03111.01,0.999999899738424
K03341.02,0.9999998988983367
K03943.01,0.9999998970740575
K01236.04,0.9999998951078696
K04505.01,0.9999998916919639
K02132.01,0.9999998915635921
K03019.01,0.9999998904990424
K00474.03,0.9999998899255983
K03226.01,0.9999998882553129
K02158.01,0.9999998877705168
K00319.01,0.9999998819696753
K02422.02,0.9999998815998481
K03680.01,0.9999998809176627
K00612.03,0.9999998802211995
K00501.01,0.9999998754604678
K02291.01,0.9999998730924183
K02219.01,0.9999998718898022
K00974.01,0.9999998703250027
K01051.01,0.999999870175452
K01375.01,0.9999998665435694
K02559.01,0.9999998658146316
K02637.01,0.9999998646083507
K02579.03,0.9999998638221154
K03470.01,0.9999998613994078
K03310.01,0.9999998609934799
K00841.03,0.9999998604478714
K04021.01,0.9999998578135441
K00704.01,0.9999998574596954
K03444.01,0.999999856964626
K00268.01,0.9999998565600029
K02631.01,0.9999998496514624
K00103.01,0.9999998490109699
K02174.01,0.9999998460355051
K02039.01,0.9999998446253221
K02367.01,0.9999998408026856
K02571.01,0.9999998403637551
K02871.01,0.9999998364653025
K01408.01,0.9999998338422106
K00350.01,0.9999998325369538
K00099.01,0.9999998324431102
K00375.01,0.999999831980716
K01822.01,0.9999998313240392
K02319.01,0.999999829181042
K01590.03,0.9999998289781821
K00430.02,0.9999998283178179
K02159.01,0.9999998199386733
K01358.02,0.9999998174620996
K01831.03,0.9999998089853871
K03482.01,0.9999998087769534
K01656.01,0.9999998040469618
K04288.04,0.9999997973243717
K01480.02,0.9999997973062473
K04377.01,0.9999997952189976
K01738.01,0.9999997930321398
K01985.01,0.9999997924068307
K02720.01,0.9999997913012775
K02686.01,0.9999997828118862
K01972.01,0.9999997820880904
K02477.01,0.9999997761905636
K02516.01,0.9999997749786371
K02715.03,0.9999997747754185
K02257.02,0.9999997745806739
K04431.01,0.9999997711028599
K04773.01,0.9999997702497724
K03420.01,0.9999997624717913
K02523.02,0.9999997602025883
K02325.01,0.9999997523673234
K01944.01,0.9999997489698806
K00252.01,0.9999997487604512
K03448.01,0.9999997430229911
K02984.01,0.9999997390537557
K02732.04,0.9999997333909192
K00379.02,0.9999997282372107
K02310.01,0.9999997229306589
K03094.01,0.999999722375716
K02290.01,0.9999997216147849
K02534.02,0.9999997190511182
K01527.01,0.9999997189585373
K02522.01,0.9999997175096776
K02065.01,0.999999716721366
K03041.01,0.9999997101320922
K03226.02,0.9999997073406416
K02760.01,0.9999997060968504
K04385.01,0.9999996988554273
K01563.03,0.9999996987674277
K02757.01,0.9999996950767641
K02764.01,0.9999996924006169
K01627.02,0.9999996742293493
K02579.02,0.9999996737386122
K03474.01,0.9999996598085572
K02569.01,0.999999657615896
K04205.01,0.9999996466403617
K02802.01,0.9999996453690198
K00221.02,0.9999996343824982
K02759.01,0.9999996336693505
K04633.01,0.9999996288364105
K02878.01,0.9999996200652155
K02009.01,0.999999617405994
K03341.01,0.9999996164991242
K00892.02,0.9999996083781654
K04840.01,0.999999604872075
K02229.01,0.9999996010457706
K00626.02,0.9999995991700618
K03876.01,0.9999995987916479
K05384.01,0.9999995936577594
K01878.01,0.9999995880520923
K02357.01,0.9999995869109047
K03909.01,0.9999995816766316
K02204.01,0.9999995799940457
K05361.01,0.9999995758988505
K02581.01,0.999999570841276
K02675.02,0.999999568943162
K00896.03,0.9999995600458319
K02169.03,0.9999995578539796
K01574.04,0.9999995532109687
K00555.02,0.999999552854446
K00592.01,0.9999995526953658
K02357.02,0.9999995430363654
K01708.01,0.9999995343059102
K02351.01,0.9999995316826656
K06557.01,0.9999995184342018
K00005.01,0.9999995145122106
K01808.01,0.999999507386131
K01239.01,0.9999995052856188
K01477.01,0.9999995026169939
K02690.01,0.9999994961991501
K02521.02,0.9999994911652734
K02972.01,0.9999994892897034
K04570.01,0.9999994825469327
K04341.01,0.9999994766267565
K02840.01,0.9999994674859372
K00683.01,0.9999994641505774
K00367.01,0.9999994620509481
K04772.01,0.9999994569896355
K03095.01,0.9999994552300392
K02294.01,0.9999994521742154
K01311.01,0.9999994521488996
K01258.03,0.9999994500230478
K02927.01,0.9999994499533719
K01750.02,0.9999994438370303
K02490.01,0.9999994415724506
K01397.01,0.9999994342292094
K04267.01,0.9999994166807563
K02829.01,0.9999994066644847
K02949.02,0.999999400868106
K02585.03,0.9999993899650537
K02656.01,0.9999993694618446
K02191.01,0.9999993692324642
K02696.02,0.9999993632325568
K00092.01,0.9999993347124759
K01969.01,0.9999993294715632
K03052.01,0.9999993283147854
K02243.03,0.9999993185892222
K01358.03,0.9999993114564885
K02064.01,0.9999993057145797
K01404.02,0.9999992986999613
K03165.01,0.9999992915466375
K04145.01,0.9999992754773055
K02942.02,0.9999992751770008
K00227.01,0.9999992720170056
K01864.01,0.9999992690853583
K00269.01,0.9999992690801573
K04054.01,0.9999992648980983
K04500.02,0.9999992630643222
K00351.07,0.9999992615943346
K04273.01,0.9999992530301456
K03398.02,0.9999992393886526
K03500.01,0.9999992209619804
K02471.01,0.9999992129989265
K05552.01,0.9999992119311558
K03119.01,0.9999992010941247
K00635.01,0.9999991988849543
K01029.01,0.9999991731965442
K04302.01,0.9999991671812477
K01151.05,0.9999991589281425
K01784.01,0.9999991467707153
K01831.04,0.9999991428133281
K00353.03,0.9999991312910989
K02626.01,0.9999991307401466
K01537.01,0.9999991303174324
K04914.01,0.9999991259643103
K00212.01,0.9999991236820142
K03043.01,0.9999991195896558
K01030.01,0.9999991176259283
K05155.01,0.9999991164749064
K02263.01,0.9999991141389641
K07279.01,0.9999990853647717
K03088.01,0.9999990851931975
K04524.03,0.9999990503234445
K00682.01,0.9999990479878725
K03371.01,0.9999990429181097
K01648.01,0.9999990261736547
K01393.01,0.9999990078068418
K04541.02,0.9999990031534578
K02855.01,0.999998998330014
K00531.01,0.9999989832899575
K03397.01,0.9999989615000247
K01552.01,0.9999989577708064
K04725.01,0.9999989574076177
K01910.02,0.9999989518487833
K02583.01,0.9999989502264077
K00945.01,0.9999989341735498
K02970.01,0.9999989274314447
K00521.01,0.9999989224135221
K04735.01,0.9999989171742539
K02915.01,0.9999989141467187
K02450.02,0.9999988900930206
K01659.01,0.9999988894108947
K03394.01,0.9999988874413667
K01901.01,0.9999988655102753
K00972.01,0.9999988348168923
K03323.01,0.999998833156736
K02840.02,0.9999988304327908
K03128.01,0.9999988282290445
K00089.02,0.9999988224276453
K01494.01,0.9999988058193824
K04526.02,0.9999987987696294
K02248.03,0.9999987982921953
K01962.01,0.9999987959936044
K02859.04,0.9999987927599047
K05831.01,0.9999987680987327
K02706.01,0.9999987640122079
K02250.01,0.9999987487609578
K03209.02,0.9999987152403768
K01573.01,0.99999870084033
K00750.03,0.9999986925953033
K02237.01,0.9999986863201076
K01316.01,0.999998684614663
K04323.01,0.9999986703331688
K00992.02,0.999998661320148
K00332.02,0.9999986250648494
K02076.01,0.9999986207478969
K02949.01,0.9999986147814143
K02716.02,0.9999986099357951
K06994.01,0.9999986025959481
K01685.01,0.9999985968180769
K00696.01,0.9999985923691451
K00760.01,0.9999985752983985
K01359.01,0.9999985570293295
K05327.01,0.9999985464572789
K00426.01,0.999998533764733
K02862.01,0.9999985337436849
K04904.01,0.9999985059044288
K03681.02,0.999998497180324
K00950.01,0.9999984957804187
K04524.02,0.9999984940893492
K03493.01,0.9999984646431311
K02091.01,0.999998461358258
K01336.04,0.9999984566162766
K02603.01,0.9999984559763356
K02232.01,0.9999984455273369
K05597.01,0.9999984394366732
K03091.01,0.9999984362467573
K03500.02,0.9999984230096983
K00416.03,0.9999984011688178
K01498.02,0.9999984005413552
K03123.01,0.9999983809678825
K02248.01,0.9999983638992641
K03111.02,0.9999983445979831
K02807.01,0.9999983412926337
K03034.01,0.9999983335626318
K00687.01,0.9999982868885489
K01358.01,0.9999982711189729
K02597.03,0.9999982324093877
K04156.01,0.999998220812
K04442.01,0.9999982041941526
K01489.01,0.9999981874094573
K01437.01,0.9999981851424121
K01863.01,0.9999981763425729
K03130.02,0.9999981396795499
K01358.04,0.9999981211565483
K04661.01,0.9999980806053644
K05692.01,0.9999980560649636
K01562.02,0.9999979982003464
K01201.01,0.9999979963869728
K04069.01,0.9999979844611965
K01681.01,0.9999979643431679
K04627.01,0.999997955829437
K02361.01,0.9999979172350801
K01191.01,0.9999979053434975
K00734.02,0.9999978922502244
K02504.01,0.9999978687253106
K03420.02,0.9999978465181597
K01429.01,0.9999978273302509
K01499.03,0.9999978183012094
K03309.01,0.9999978146433689
K02040.01,0.9999978119805449
K06849.01,0.9999977661844078
K02658.01,0.9999977610024007
K01720.01,0.9999977208352943
K03069.01,0.9999977074947484
K00247.01,0.9999977054382122
K02733.01,0.9999977017702081
K03040.01,0.9999976880085244
K04557.01,0.9999976860412392
K02657.01,0.9999976812638782
K02551.01,0.9999975836509
K02687.02,0.9999975823519262
K02638.01,0.9999975576005632
K04691.01,0.9999975574217584
K04149.02,0.9999975562075456
K00082.06,0.9999975176720857
K04014.01,0.9999975157617507
K05426.01,0.9999975091168994
K04495.01,0.9999974933898245
K01943.01,0.9999974633246805
K03434.01,0.9999974139487956
K04443.01,0.9999974092006482
K02851.01,0.9999974056857089
K02860.01,0.9999973739743782
K04318.01,0.9999973008708047
K02691.01,0.9999972873932007
K00994.01,0.9999972823850436
K02066.01,0.9999972582043289
K02636.01,0.9999972279657164
K04320.01,0.9999971737266429
K04526.01,0.9999971094398916
K04766.01,0.999997105064943
K06707.01,0.9999970038387449
K00868.01,0.9999969942786927
K04541.01,0.9999969669806502
K01833.02,0.9999969396551641
K02084.01,0.9999969123897493
K02158.02,0.999996874240269
K02263.03,0.999996822026907
K00075.01,0.999996764762424
K02250.02,0.9999967527486033
K01627.03,0.99999674961055
K04854.01,0.999996737791022
K02849.01,0.9999967072534697
K04150.01,0.9999966889521733
K06978.01,0.999996624395504
K02803.01,0.999996586596078
K04550.01,0.9999965539103401
K04245.01,0.9999965423003778
K02971.02,0.999996492942463
K03031.01,0.9999964812360002
K03384.01,0.99999647146578
K01015.03,0.9999964690376201
K02641.01,0.9999964680004344
K01619.01,0.9999964669644988
K02298.01,0.999996425571036
K02554.02,0.9999964042515428
K03045.01,0.999996395677621
K01127.03,0.9999963884870688
K02433.04,0.9999963872749249
K01431.01,0.9999963736238996
K02186.01,0.9999963456060763
K02694.02,0.9999962913594094
K02538.01,0.9999962323506496
K01175.02,0.999996205613136
K03337.01,0.9999961854542756
K02835.01,0.9999961241926412
K04296.01,0.9999961199689923
K04477.01,0.9999961082913202
K02489.01,0.999996087389433
K02942.01,0.9999959851935453
K01085.01,0.9999959784431113
K04427.01,0.999995889473142
K04972.01,0.9999957939262603
K01630.01,0.9999957663564955
K04601.01,0.9999957651065353
K03925.01,0.9999957516670244
K01947.01,0.9999956828480779
K01399.01,0.9999956771736379
K04149.01,0.9999956493265989
K02467.01,0.9999956460471177
K02674.01,0.9999956326212451
K02958.01,0.9999955848863287
K00533.02,0.9999955563137266
K01338.02,0.9999955545318081
K02486.01,0.9999955100966197
K04716.01,0.9999954306646911
K04447.01,0.9999954196561489
K02525.01,0.9999953472148055
K05098.01,0.9999952268435572
K01510.01,0.9999951225393539
K01968.01,0.999995085817577
K03083.01,0.9999950805518087
K03401.01,0.9999950726513457
K02989.01,0.9999949773511541
K04123.01,0.9999949587033155
K00280.01,0.9999949465651734
K02380.01,0.9999949391583175
K04482.01,0.9999948810602366
K05761.01,0.9999948797419448
K03991.01,0.9999948660637851
K03140.01,0.9999948551113719
K04622.02,0.9999948142233254
K00506.01,0.9999947317056411
K02174.03,0.9999947095041734
K04022.01,0.9999945895480348
K04891.01,0.9999945851146826
K00524.01,0.9999945379403786
K02462.01,0.9999945374890091
K03209.01,0.9999944138316812
K01843.02,0.9999944105436712
K03090.01,0.9999943097967561
K04367.01,0.9999942958653376
K04877.01,0.9999942694695302
K06475.01,0.9999942624575241
K00577.01,0.9999942081149681
K00924.01,0.9999941799420623
K04657.01,0.9999940481104896
K04554.01,0.9999940374313014
K04586.01,0.9999940021016922
K02547.01,0.9999939998935138
K01362.01,0.9999939666664932
K04567.02,0.9999939514718914
K00945.02,0.999993831302171
K03007.01,0.9999937404051503
K04226.01,0.9999936900471549
K04346.01,0.9999935397678525
K04602.01,0.9999935182716468
K02154.01,0.9999934434308554
K03142.01,0.9999933982392588
K02531.01,0.999993388390866
K02056.01,0.9999933825838145
K04524.01,0.9999933778460909
K03283.02,0.9999932897877718
K01547.01,0.9999932638884304
K01271.01,0.9999932297119367
K02900.01,0.9999930143121837
K02415.01,0.9999930068621944
K05855.01,0.9999929690651271
K03236.01,0.9999929570178655
K00686.01,0.9999929251151954
K00473.01,0.9999928436957886
K07332.01,0.9999928055992328
K06217.01,0.9999927886435988
K01897.01,0.999992770230858
K02976.01,0.9999927091159985
K00266.02,0.9999926867364618
K02722.05,0.9999926358349143
K02172.01,0.9999925645718526
K01892.01,0.999992539483818
K03203.01,0.999992529555802
K04252.01,0.9999925126026704
K02948.01,0.9999924757791435
K00616.01,0.9999924568228405
K02199.01,0.999992423424104
K05040.01,0.9999924053753264
K00959.01,0.9999923300327666
K07759.01,0.999992296978303
K03801.01,0.9999921016191134
K03908.01,0.9999919668257202
K04826.01,0.999991752754172
K00810.01,0.9999917509049682
K02577.01,0.9999916642476241
K02750.01,0.9999916601976472
K02796.01,0.9999916238461626
K01573.02,0.9999915314308612
K05748.01,0.9999915297610981
K03459.01,0.9999915138532414
K03271.02,0.9999914590528954
K03307.01,0.999991442736943
K04421.01,0.9999914024021386
K03264.01,0.9999913208141403
K04467.01,0.9999912661772197
K02992.01,0.9999911902980799
K02700.01,0.999991177232314
K04184.01,0.9999911765562975
K06299.01,0.9999911609243557
K04885.01,0.9999910247588814
K01357.01,0.9999907991074695
K01522.02,0.9999907662511394
K02779.01,0.999990723178971
K03460.01,0.9999906724641137
K03004.02,0.9999906328959057
K04748.01,0.9999905972404876
K04484.01,0.9999905773775196
K00601.02,0.9999904993681099
K04715.01,0.9999904620276948
K06546.01,0.9999904019866186
K04334.01,0.9999903370815515
K01170.01,0.9999903161695367
K02755.01,0.9999902782406955
K03339.01,0.9999902551406455
K02906.03,0.9999901970597448
K02199.02,0.9999901638391238
K01964.01,0.9999901625118889
K02216.01,0.9999901044892843
K02859.05,0.9999900964826898
K00120.01,0.9999900865346917
K04523.01,0.999990079920139
K02957.01,0.9999899541411076
K02560.01,0.9999898610966518
K06104.01,0.9999897704578001
K03050.01,0.9999896968612814
K06680.01,0.9999896582101656
K03347.01,0.999989541917819
K01783.01,0.9999894901690566
K02184.02,0.9999893449043611
K04759.01,0.9999892206898024
K03408.01,0.9999891323319601
K03073.01,0.9999891047535654
K01733.01,0.9999889028041552
K02550.01,0.9999888692034606
K02572.01,0.9999887283988576
K03022.01,0.9999886678360254
K01112.01,0.9999886062253825
K01942.01,0.9999885531312493
K02226.01,0.9999885408875091
K05663.01,0.999988540506057
K04129.01,0.9999884019566951
K03372.01,0.9999883790225561
K02117.01,0.9999883389991022
K04444.01,0.9999883150553873
K02363.01,0.9999882907558942
K07003.01,0.9999882535790896
K04895.01,0.9999881181396392
K00607.01,0.9999880349287549
K02507.01,0.9999880085363146
K04386.01,0.9999879779566987
K02125.01,0.9999879282529732
